"Date","Price","Open","High","Low","Vol.","Change %"
"09/06/2023","135.36","136.32","137.45","134.61","39.29M","-1.39%"
"09/05/2023","137.27","137.73","137.80","135.82","40.00M","-0.62%"
"09/01/2023","138.12","139.46","139.96","136.88","40.99M","0.08%"
"08/31/2023","138.01","135.06","138.79","135.00","58.30M","2.18%"
"08/30/2023","135.07","134.93","135.68","133.92","35.17M","0.12%"
"08/29/2023","134.91","133.38","135.14","133.25","38.36M","1.33%"
"08/28/2023","133.14","133.78","133.95","131.85","33.44M","-0.09%"
"08/25/2023","133.26","132.47","133.87","130.58","44.15M","1.08%"
"08/24/2023","131.84","136.40","136.77","131.83","41.60M","-2.72%"
"08/23/2023","135.52","134.50","135.95","133.22","40.90M","0.95%"
"08/22/2023","134.25","135.08","135.65","133.73","32.54M","-0.32%"
"08/21/2023","134.68","133.74","135.18","132.71","40.74M","1.10%"
"08/18/2023","133.22","131.62","134.07","131.15","48.50M","-0.57%"
"08/17/2023","133.98","135.46","136.09","133.53","46.97M","-0.81%"
"08/16/2023","135.07","137.19","137.27","135.01","41.36M","-1.89%"
"08/15/2023","137.67","140.05","141.28","137.23","42.59M","-2.06%"
"08/14/2023","140.57","138.30","140.59","137.75","47.15M","1.56%"
"08/11/2023","138.41","137.40","139.33","137.00","42.91M","-0.11%"
"08/10/2023","138.56","139.07","140.41","137.49","54.38M","0.52%"
"08/09/2023","137.85","139.97","140.32","137.10","48.58M","-1.49%"
"08/08/2023","139.94","140.62","140.84","138.42","51.53M","-1.60%"
"08/07/2023","142.22","140.99","142.54","138.95","71.21M","1.90%"
"08/04/2023","139.57","141.06","143.63","139.32","153.13M","8.27%"
"08/03/2023","128.91","127.48","129.84","126.41","78.43M","0.55%"
"08/02/2023","128.21","130.15","130.23","126.82","50.09M","-2.64%"
"08/01/2023","131.69","133.55","133.69","131.62","41.36M","-1.49%"
"07/31/2023","133.68","133.20","133.87","132.38","41.52M","1.11%"
"07/28/2023","132.21","129.69","133.01","129.33","46.32M","3.09%"
"07/27/2023","128.25","131.00","132.63","127.79","52.61M","0.08%"
"07/26/2023","128.15","126.51","129.08","126.11","53.91M","-0.76%"
"07/25/2023","129.13","129.31","129.58","128.53","39.24M","0.26%"
"07/24/2023","128.80","130.30","131.66","128.35","41.74M","-0.92%"
"07/21/2023","130.00","131.34","131.37","128.41","133.31M","0.03%"
"07/20/2023","129.96","134.07","134.79","129.33","59.82M","-3.99%"
"07/19/2023","135.36","133.39","135.99","132.53","54.53M","1.90%"
"07/18/2023","132.83","132.71","133.86","131.35","54.32M","-0.55%"
"07/17/2023","133.56","134.56","135.62","133.21","47.80M","-0.83%"
"07/14/2023","134.68","134.06","136.65","134.06","54.49M","0.28%"
"07/13/2023","134.30","134.04","134.67","132.71","61.17M","2.68%"
"07/12/2023","130.80","130.31","131.26","128.83","53.34M","1.57%"
"07/11/2023","128.78","127.75","129.77","127.35","49.25M","1.30%"
"07/10/2023","127.13","129.07","129.28","125.92","61.45M","-2.04%"
"07/07/2023","129.78","128.59","130.97","128.13","41.99M","1.11%"
"07/06/2023","128.36","128.25","128.73","127.37","39.69M","-1.55%"
"07/05/2023","130.38","130.24","131.40","129.64","34.74M","0.12%"
"07/03/2023","130.22","130.93","131.84","130.08","28.26M","-0.11%"
"06/30/2023","130.36","129.47","131.24","128.95","54.35M","1.92%"
"06/29/2023","127.90","128.77","129.26","127.25","40.48M","-0.88%"
"06/28/2023","129.04","128.94","131.48","128.44","50.96M","-0.11%"
"06/27/2023","129.18","128.63","130.09","127.55","46.39M","1.45%"
"06/26/2023","127.33","129.33","131.49","127.10","59.59M","-1.55%"
"06/23/2023","129.33","129.11","130.84","128.28","71.93M","-0.63%"
"06/22/2023","130.15","125.31","130.33","125.14","87.86M","4.26%"
"06/21/2023","124.83","125.64","126.73","123.85","52.14M","-0.76%"
"06/20/2023","125.78","124.97","127.25","124.50","55.09M","0.23%"
"06/16/2023","125.49","127.71","127.90","125.30","84.25M","-1.27%"
"06/15/2023","127.11","125.21","127.69","124.32","59.00M","0.55%"
"06/14/2023","126.42","126.70","126.95","124.12","50.30M","-0.19%"
"06/13/2023","126.66","128.12","128.41","125.18","50.17M","0.07%"
"06/12/2023","126.57","124.02","126.78","123.53","51.05M","2.54%"
"06/09/2023","123.43","124.08","125.80","123.19","51.40M","-0.66%"
"06/08/2023","124.25","123.01","125.63","122.26","62.16M","2.49%"
"06/07/2023","121.23","127.01","127.36","120.63","95.66M","-4.25%"
"06/06/2023","126.61","125.07","127.40","125.00","45.21M","1.05%"
"06/05/2023","125.30","123.36","125.80","123.03","47.17M","0.85%"
"06/02/2023","124.25","124.92","126.39","124.01","61.26M","1.21%"
"06/01/2023","122.77","120.69","123.49","119.93","53.78M","1.82%"
"05/31/2023","120.58","121.45","122.04","119.17","71.77M","-0.89%"
"05/30/2023","121.66","122.37","122.92","119.86","63.76M","1.29%"
"05/26/2023","120.11","116.04","121.50","116.02","96.78M","4.44%"
"05/25/2023","115.00","116.63","116.87","114.31","64.21M","-1.50%"
"05/24/2023","116.75","115.35","117.34","115.02","61.38M","1.53%"
"05/23/2023","114.99","114.27","117.14","113.78","62.46M","-0.02%"
"05/22/2023","115.01","116.77","116.77","114.25","70.37M","-1.07%"
"05/19/2023","116.25","118.16","118.31","115.70","55.06M","-1.61%"
"05/18/2023","118.15","116.69","118.60","116.33","69.90M","2.29%"
